id                          ⎸language_text
BrowseROM_NES               ⎸Fichiers ROM de Nintendo (*.nes)|*.nes
BrowseROM_SNES              ⎸Fichiers ROM de Super Nintendo (*.sfc, *.smc)|*.sfc;*.smc
BrowseROM_N64               ⎸Fichiers ROM de Nintendo 64 (*.n64, *.v64, *.z64)|*.n64;*.v64;*.z64
BrowseROM_SMS               ⎸Fichiers ROM de Sega Master System (*.sms)|*.sms
BrowseROM_SMD               ⎸Fichiers ROM de Sega Mega Drive/Genesis (*.bin, *.gen, *.mgd, *.md, *.smd)|*.bin;*.gen;*.mgd;*.md;*.smd
BrowseROM_PCE               ⎸Fichiers ROM de TurboGrafx-16/PC Engine (*.pce)|*.pce
BrowseROM_C64               ⎸Fichiers ROM de Commodore 64 (*.t64, *.d64)|*.t64;*.d64
BrowseSWF                   ⎸Fichiers Adobe Flash (*.swf)|*.swf
BrowseZIP                   ⎸Archives *.zip (*.zip)|*.zip
BrowseISO                   ⎸Images de disque (*.cue; *.iso)|*.cue;*.iso|  Fichiers CUE Sheet (*.cue)|*.cue|  Images ISO (*.iso)|*.iso
BrowseAll                   ⎸|Tous les fichiers (*.*)|*.*

label1.Text                 ⎸Bienvenue dans l'application FriishProduce ({0}).\n\nPour commencer, veuillez choisir une plateforme cible :
label2.Text                 ⎸Choisir une ROM et une chaîne à utiliser.
label3.Text                 ⎸Aucun fichier sélectionné
label4.Text                 ⎸Spécifier d'autres réglages de contenu ici.
label5.Text                 ⎸Vous pouvez spécifier une image et un banner personnalisé pour votre chaîne injectée, qui s'affiche dans le Menu Wii et sa Gestion des données, à moins que vous décidiez de passer cette étape.
label6.Text                 ⎸Code d'identification :
label7.Text                 ⎸Titre de la chaîne :
label8.Text                 ⎸Titre complet :
label9.Text                 ⎸Année de publication :
label10.Text                ⎸Joueurs :
label11.Text                ⎸Titre des données de sauvegarde :
label12.Text                ⎸Redimensionnement :
label13.Text                ⎸Méthode d'interpolation :
Image_ModeI.Items           ⎸Par défaut
Image_ModeI.Items1          ⎸Basse qualité
Image_ModeI.Items2          ⎸Haute qualité
Image_ModeI.Items3          ⎸Bicubique
Image_ModeI.Items4          ⎸Bilinéaire
Image_ModeI.Items5          ⎸Arrondie
Image_ModeI.Items6          ⎸Bicubic (haute qualité)
Image_ModeI.Items7          ⎸Bilinear (haute qualité)
Image_Stretch.Items         ⎸Étirer
Image_Stretch.Items1        ⎸Conserver les proportions
Customize.Text              ⎸Personnaliser
DisableEmanual.Text         ⎸Retirer l'option « Mode d'emploi » du Menu HOME
ImportBanner.Text           ⎸Importer un autre banner à modifier :
Patch.Text                  ⎸Auto-patcher avec un fichier *.ips ou *.bps
RegionFree.Text             ⎸Dézoner

NES_Palette.Text            ⎸Palette :
NES_PaletteList.Items       ⎸Par défaut
NES_PaletteList.Items1      ⎸Sans filtre sombre
NES_PaletteList.Items2      ⎸Console virtuelle (Nintendo 3DS)
NES_PaletteList_Author      ⎸Auteur(e) : {0}

N64_FixBrightness.Text      ⎸Maximum luminosité
N64_8MBRAM.Text             ⎸Extension de mémoire à 8 Mo de RAM
N64_AllocateROM.Text        ⎸Allouer 32 Mo pour la ROM

Flash_HBM_NoSave.Text       ⎸Activer le message des « données non sauvegardées » sur le Menu HOME
Flash_SaveData.Text         ⎸Utiliser données de sauvegarde
Flash_Total.Text            ⎸Taille (Ko) :
